Sport,Country,League,Participants,SportId,CountryId,LeagueId,Bet,HomeTeamId,AwayTeamId,HomeOdd,DrawOdd,AwayOdd,IsPlayoffs,IsCup,IsWomen
handball,europe,european-championship-women,Romania W - Austria W,6,196,3115,1,74107,74122,1.02,20.85,13.54,0,0,1
handball,norway,grundigligaen,Drammen - Notteroy,6,254,3173,1,75790,75798,1.05,16.27,11.53,0,0,0
handball,europe,european-championship-women,Norway W - Ukraine W,6,196,3115,1,74103,74121,1.01,20.18,15.22,0,0,1
handball,denmark,888ligaen,Ribe-Esbjerg - Skanderborg,6,188,3105,1,73847,73856,1.3,9.49,4.6,0,0,0
handball,europe,champions-league,Nantes - Rhein-Neckar,6,196,3116,1,74139,74140,1.52,8.72,3.26,0,0,0
handball,germany,bundesliga,Flensburg-H. - Ludwigshafen,6,204,3147,1,75266,75281,1.01,28.9,21.68,0,0,0
handball,norway,grundigligaen,Elverum - Fyllingen,6,254,3173,1,75781,75788,1.14,12.73,6.88,0,0,0
handball,norway,grundigligaen,Sandnes - Bodo,6,254,3173,2,0,75783,5.15,10.44,1.23,0,0,0
handball,portugal,andebol-1,Benfica - Madeira,6,263,3183,1,76005,76001,1.27,10.9,4.31,0,0,0
handball,russia,superleague,Spartak Moscow - UOR No.2 Moscow,6,266,3188,0,0,76089,NaN,NaN,NaN,0,0,0
handball,sweden,handbollsligan,Ricoh - Redbergslids,6,283,3204,2,76392,76382,3.16,8.54,1.53,0,0,0
handball,sweden,handbollsligan,Alingsas - Savehof,6,283,3204,1,76378,76380,1.59,8.62,2.91,0,0,0
handball,europe,european-championship-women,Netherlands W - Belarus W,6,196,3115,1,74102,74126,1.05,16.21,11.08,0,0,1
handball,germany,2-bundesliga,Hildesheim - Lubeck-Schwartau,6,204,3148,2,75327,75311,2.7,9.21,1.6,0,0,0
handball,europe,european-championship-women,Spain W - Turkey W,6,196,3115,1,74113,74125,1.02,17.92,13.52,0,0,1
handball,france,lidl-starligue,Aix - Massy Essonne,6,200,3141,1,75148,0,1.12,14.85,8.14,0,0,0
handball,france,lidl-starligue,Ivry - Saran,6,200,3141,1,75154,75144,1.7,8.29,2.64,0,0,0
handball,europe,european-championship-women,Czech Republic W - Iceland W,6,196,3115,1,74108,74124,1.16,12.61,6.37,0,0,1
handball,france,lidl-starligue,Montpellier - Tremblay,6,200,3141,1,75149,75158,1.04,19.73,13.81,0,0,0
handball,spain,liga-asobal,Ademar - Barcelona,6,280,3198,2,76237,76224,6.99,12.93,1.17,0,0,0
