Sport,Country,League,Participants,SportId,SportIndex,CountryId,CountryIndex,LeagueId,LeagueIndex,Bet,HomeTeamId,HomeTeamIndex,AwayTeamId,AwayTeamIndex,HomeOdd,DrawOdd,AwayOdd,IsPlayoffs,IsCup,IsWomen,Prediction,Probability,Kelly
soccer,czech-republic,mol-cup,Sparta Prague - Ostrava,9,8,187,31,2119,9,1,44168,13,44171,16,1.4,4.43,6.32,0,1,0,1,0.6492343650541821,-0.22767972231036304
soccer,croatia,croatian-cup,Zapresic - Sesvete,9,8,185,29,2102,2,1,43887,4,43915,10,1.38,4.32,6.82,0,1,0,1,0.661741644169273,-0.22841192380632477
soccer,turkey,turkish-cup,Elazigspor - Sivas Belediyespor,9,8,292,136,2685,18,1,63391,23,63615,4,1.41,4.42,6.2,0,1,0,1,0.6413044218165979,-0.23356284204535885
hockey,sweden,hockeyettan-sodra,Kallinge/Ronneby - Helsingborgs,5,4,283,127,3356,3,1,79121,27,79169,40,1.23,6.36,7.75,0,0,0,1,0.7691182193171036,-0.23471560973896785
handball,world,world-championship,Bosnia &amp; Herzegovina - Estonia,6,5,302,146,3215,0,1,46110,27,46111,28,1.12,17.83,7.82,0,0,0,1,0.8671741317261469,-0.2397081038892947
soccer,czech-republic,msfl,Unicov - Valasske Mezirici,9,8,187,31,2113,3,1,44302,14,44437,9,1.44,4.45,5.17,0,0,0,1,0.6203008814296224,-0.24265166077578137
soccer,costa-rica,primera-division,Grecia - Herediano,9,8,184,28,2097,0,2,0,0,43845,1,4.14,3.29,1.8,0,0,0,2,0.44515172121905294,-0.24840862725713092
basketball,europe,euroleague-women,ESB Lille W - Castors Braine W,7,6,196,40,2886,36,1,69102,8,69114,20,1.44,0.0,2.72,0,0,1,1,0.6176075569411745,-0.2514661772834288
hockey,switzerland,swiss-league,La Chaux-de-Fonds - Academy Zug,5,4,284,128,3381,1,1,79741,3,79747,9,1.25,6.99,6.51,0,0,0,1,0.7490357594955348,-0.25482120252232576
soccer,greece,greek-cup,&nbsp;Panetolikos - Panserraikos,9,8,207,51,2290,6,1,50257,10,50272,25,1.2,5.52,11.81,0,1,0,1,0.7907903426432962,-0.2552579441402231
basketball,latvia,lbl,VEF Riga - Valga,7,6,230,74,2950,0,1,68476,65,68330,7,1.07,0.0,9.6,0,0,0,1,0.9173931455251554,-0.26270477554405186
soccer,turkey,turkish-cup,Sivasspor - Kizilcaboluk Spor Kulubu,9,8,292,136,2685,18,1,46808,11,63821,13,1.07,10.35,17.3,0,1,0,1,0.9173112427785891,-0.26395671752728034
basketball,europe,euroleague-women,Nadezhda W - Schio W,7,6,196,40,2886,36,1,69099,5,69100,6,1.4,0.0,2.87,0,0,1,1,0.6388238250166918,-0.26411661244157897
basketball,europe,euroleague,Unicaja - Bamberg,7,6,196,40,2851,1,1,68393,17,49015,32,1.25,0.0,4.11,0,0,0,1,0.7466583609262075,-0.2667081953689623
soccer,turkey,turkish-cup,Erzurum BB - Tire,9,8,292,136,2685,18,1,63612,1,63838,30,1.3,4.91,8.03,0,1,0,1,0.7070505452100859,-0.26944763742296074
soccer,ukraine,ukrainian-cup,Tavriya - Mariupol,9,8,295,139,2702,4,2,46817,20,64537,15,9.04,5.4,1.25,0,1,0,2,0.7455876544514558,-0.2720617277427211
