Sport,Country,League Name,Margin,Total Records,Success Records,Avg. Odd,Success Rate,Money Made,Money Per Game,Rate Of Available Money,Season
basketball,asia,seaba-championship,1.20,1,1,1.1600,1.0000,0.16,0.1600,1.0000,
basketball,asia,seaba-championship,1.40,2,2,1.3800,1.0000,0.76,0.3800,1.0000,
basketball,asia,southeast-asian-games-women,1.10,1,0,1.0600,0.0000,-1,-1.0000,-16.6667,
basketball,asia,southeast-asian-games-women,1.20,1,1,1.1800,1.0000,0.18,0.1800,1.0000,
basketball,asia,southeast-asian-games-women,1.30,1,0,1.2200,0.0000,-1,-1.0000,-4.5455,
basketball,asia,southeast-asian-games-women,1.50,1,0,1.4500,0.0000,-1,-1.0000,-2.2222,
basketball,asia,southeast-asian-games,1.10,3,3,1.0333,1.0000,0.1,0.0333,1.0000,
basketball,asia,southeast-asian-games,1.20,1,0,1.2000,0.0000,-1,-1.0000,-5.0000,
basketball,australia-oceania,oceania-championship-u19,1.10,2,2,1.0350,1.0000,0.0700000000000001,0.0350,1.0000,
basketball,australia-oceania,oceania-championship-u19,1.20,1,0,1.1400,0.0000,-1,-1.0000,-7.1429,
basketball,australia-oceania,oceania-championship-u19,1.30,1,0,1.2600,0.0000,-1,-1.0000,-3.8462,
basketball,australia-oceania,oceania-championship-u19,1.50,1,1,1.4400,1.0000,0.44,0.4400,1.0000,
basketball,australia-oceania,oceania-championship-women,1.10,2,2,1.0250,1.0000,0.05,0.0250,1.0000,
basketball,australia-oceania,oceania-championship,1.10,4,4,1.0500,1.0000,0.2,0.0500,1.0000,
basketball,australia-oceania,oceania-championship,1.20,2,2,1.1100,1.0000,0.22,0.1100,1.0000,
basketball,australia-oceania,oceania-championship,1.30,2,1,1.2850,0.5000,-0.7,-0.3500,-1.2281,
basketball,australia,nbl,1.10,54,54,1.0850,1.0000,4.59,0.0850,1.0000,
basketball,australia,nbl,1.20,126,105,1.1683,0.8333,-3.57000000000001,-0.0283,-0.1683,
basketball,australia,nbl,1.30,168,129,1.2632,0.7679,-4.61999999999998,-0.0275,-0.1045,
basketball,australia,nbl,1.40,186,132,1.3621,0.7097,-6.21,-0.0334,-0.0922,
basketball,australia,nbl,1.50,177,126,1.4486,0.7119,5.39999999999999,0.0305,0.0680,
basketball,australia,seabl-women,1.10,69,61,1.0501,0.8841,-5.03,-0.0729,-1.4538,
basketball,australia,seabl-women,1.20,50,38,1.1600,0.7600,-6.01,-0.1202,-0.7512,
basketball,australia,seabl-women,1.30,64,42,1.2542,0.6563,-11.28,-0.1763,-0.6933,
basketball,australia,seabl-women,1.40,33,25,1.3512,0.7576,0.930000000000002,0.0282,0.0802,
basketball,australia,seabl-women,1.50,73,47,1.4588,0.6438,-4.18,-0.0573,-0.1248,
basketball,australia,seabl,1.10,133,129,1.0598,0.9699,3.76000000000001,0.0283,0.4724,
basketball,australia,seabl,1.20,177,153,1.1557,0.8644,-0.640000000000005,-0.0036,-0.0232,
basketball,australia,seabl,1.30,201,156,1.2564,0.7761,-5.49,-0.0273,-0.1065,
basketball,australia,seabl,1.40,106,70,1.3484,0.6604,-11.69,-0.1103,-0.3165,
basketball,australia,seabl,1.50,185,140,1.4569,0.7568,18.82,0.1017,0.2226,
basketball,australia,wnbl-women,1.10,266,238,1.0451,0.8947,-17.6,-0.0662,-1.4667,
basketball,australia,wnbl-women,1.20,147,104,1.1528,0.7075,-27.49,-0.1870,-1.2240,
basketball,australia,wnbl-women,1.30,151,102,1.2548,0.6755,-23.32,-0.1544,-0.6062,
basketball,australia,wnbl-women,1.40,110,75,1.3453,0.6818,-9.42,-0.0856,-0.2480,
basketball,australia,wnbl-women,1.50,101,46,1.4595,0.4554,-34.07,-0.3373,-0.7341,
basketball,austria,abl-super-cup,1.30,1,0,1.2200,0.0000,-1,-1.0000,-4.5455,
basketball,austria,abl-super-cup,1.40,1,0,1.3800,0.0000,-1,-1.0000,-2.6316,
basketball,austria,abl,1.10,213,192,1.0484,0.9014,-12.28,-0.0577,-1.1911,
basketball,austria,abl,1.20,222,198,1.1494,0.8919,5.54999999999998,0.0250,0.1674,
basketball,austria,abl,1.30,221,165,1.2597,0.7466,-13.55,-0.0613,-0.2361,
basketball,austria,abl,1.40,288,191,1.3589,0.6632,-29.16,-0.1013,-0.2821,
basketball,austria,abl,1.50,293,151,1.4594,0.5154,-73,-0.2491,-0.5423,
basketball,austria,austria-cup,1.10,26,25,1.0362,0.9615,-0.149999999999999,-0.0058,-0.1596,
basketball,austria,austria-cup,1.20,10,8,1.1540,0.8000,-0.78,-0.0780,-0.5065,
basketball,austria,austria-cup,1.30,5,4,1.2620,0.8000,0.0900000000000001,0.0180,0.0687,
basketball,austria,austria-cup,1.40,9,9,1.3611,1.0000,3.25,0.3611,1.0000,
basketball,austria,austria-cup,1.50,14,12,1.4679,0.8571,3.56,0.2543,0.5435,
basketball,austria,awbl-women,1.10,1,1,1.0700,1.0000,0.0700000000000001,0.0700,1.0000,
basketball,austria,awbl-women,1.40,1,1,1.4000,1.0000,0.4,0.4000,1.0000,
basketball,austria,zweite-liga,1.10,71,71,1.0338,1.0000,2.4,0.0338,1.0000,
basketball,austria,zweite-liga,1.20,30,26,1.1650,0.8667,0.289999999999998,0.0097,0.0586,
basketball,austria,zweite-liga,1.30,12,6,1.2475,0.5000,-4.47,-0.3725,-1.5051,
basketball,austria,zweite-liga,1.40,7,5,1.3529,0.7143,-0.32,-0.0457,-0.1296,
basketball,austria,zweite-liga,1.50,6,3,1.4550,0.5000,-1.71,-0.2850,-0.6264,
basketball,bahrain,premier-league,1.10,72,68,1.0544,0.9444,-0.299999999999997,-0.0042,-0.0765,
basketball,bahrain,premier-league,1.20,32,26,1.1588,0.8125,-1.94,-0.0606,-0.3819,
basketball,bahrain,premier-league,1.30,57,47,1.2705,0.8246,2.66,0.0467,0.1725,
basketball,bahrain,premier-league,1.40,32,29,1.3550,0.9063,7.2,0.2250,0.6338,
basketball,bahrain,premier-league,1.50,26,18,1.4754,0.6923,0.45,0.0173,0.0364,
basketball,belarus,premier-league,1.10,116,103,1.0491,0.8879,-7.9,-0.0681,-1.3860,
basketball,belarus,premier-league,1.20,72,53,1.1457,0.7361,-11.33,-0.1574,-1.0801,
basketball,belarus,premier-league,1.30,46,31,1.2543,0.6739,-7,-0.1522,-0.5983,
basketball,belarus,premier-league,1.40,61,40,1.3543,0.6557,-6.66,-0.1092,-0.3082,
basketball,belarus,premier-league,1.50,39,26,1.4697,0.6667,-0.6,-0.0154,-0.0328,
basketball,belgium,belgian-cup,1.10,3,3,1.0867,1.0000,0.26,0.0867,1.0000,
basketball,belgium,belgian-cup,1.20,10,8,1.1560,0.8000,-0.75,-0.0750,-0.4808,
basketball,belgium,belgian-cup,1.30,5,4,1.2500,0.8000,0.03,0.0060,0.0240,
basketball,belgium,belgian-cup,1.40,8,4,1.3463,0.5000,-2.7,-0.3375,-0.9747,
